n,Mean (ms),Median (ms),SD (ms),Min (ms),Max (ms)
16,0.05525,0.05165,0.016973117690569726,0.0492,0.1434
32,0.2904233333333333,0.2873,0.01006381991414631,0.2781,0.3229
64,1.80966,1.80875,0.026632370762171988,1.7675,1.8694
128,13.719146666666667,13.61015,0.31345572500790253,13.4453,14.7692
