n,Mean (ms),Median (ms),SD (ms),Min (ms),Max (ms),Correctness (%)
16,0.04804,0.045950000000000005,0.011561756220252689,0.0435,0.109,100.0
32,0.2778833333333333,0.27444999999999997,0.012955336627291343,0.2665,0.3359,100.0
64,1.7594866666666666,1.7561,0.023704280616382988,1.7245,1.8402,100.0
128,13.669126666666667,13.52645,0.5659929413068641,13.2494,16.2914,100.0
