n,T_Legit mean (ms),T_Lin mean (ms),R_T
16,0.10411666666666666,0.22440666666666667,2.1553385625100048
32,0.7005266666666666,1.37538,1.9633513832449874
64,3.965133333333333,8.51346,2.147080384013989
128,29.479863333333334,62.114826666666666,2.1070255979250923
