n,Matrix construction mean (ms),Linear solve mean (ms),Total attack mean (ms),Attack success (%)
16,0.08396,0.14044666666666666,0.22440666666666667,100.0
32,0.7549233333333334,0.6204566666666667,1.37538,100.0
64,5.11596,3.3975,8.51346,100.0
128,39.92505,22.189776666666667,62.114826666666666,100.0
