n,Mean (ms),Median (ms),SD (ms),Min (ms),Max (ms)
16,0.03566333333333333,0.030350000000000002,0.023707898921337758,0.0262,0.1592
32,0.24529666666666666,0.19590000000000002,0.11875101882200577,0.1712,0.7023
64,1.3271233333333334,1.3009,0.20700679762840596,1.0136,2.1234
128,10.023166666666667,10.0162,1.2253850382447238,8.4183,15.0982
